CòdClienteImpakto;CódProImpakto;Item;Qtde;$ Unitário;$ Total;Unidade;Setor;SETOR2
208831;20739;Detergente clear 500 ml ype                ;6;2.8;16.8;XPTO;4;DIASORIN LTDA
208831;31066;Saco alvejado grande un                ;4;4.39;17.56;XPTO;4;DIASORIN LTDA
208831;29408;Flanela 28 cm x 58 cm unitaria branca ca                ;4;1.59;6.36;XPTO;4;DIASORIN LTDA
208831;29203;Sabao em po 800 g caixinha tyxan                ;1;15.45;15.45;XPTO;4;DIASORIN LTDA
208831;20837;Alcool 70 desinfetante 1 l itaja                ;5;6.95;34.75;XPTO;4;DIASORIN LTDA
208831;37040;La de aco 01 pt x 8 un assolan                ;1;2.29;2.29;XPTO;4;DIASORIN LTDA
208831;31132;Vassoura multiuso com cabo azul ref 9673                ;1;18.9;18.9;XPTO;4;DIASORIN LTDA
208831;32165;Esponja dupla face anti aderente azul re                ;5;1.69;8.45;XPTO;4;DIASORIN LTDA
208831;20746;Agua sanitaria 5 l facilita                ;1;12.89;12.89;XPTO;4;DIASORIN LTDA
208831;21248;Limpador festa flores bouquet 500 ml aja                ;3;10.5;31.5;XPTO;21;PRADA IGUATEMI
208831;21660;Limpador multiuso 500 ml gold veja promo                ;4;6.15;24.6;XPTO;21;PRADA IGUATEMI
208831;20710;Desentupidor wc com cabo                ;1;3.95;3.95;XPTO;21;PRADA IGUATEMI
208831;20739;Detergente clear 500 ml ype                ;4;2.8;11.2;XPTO;21;PRADA IGUATEMI
208831;32165;Esponja dupla face anti aderente azul re                ;4;1.69;6.76;XPTO;21;PRADA IGUATEMI
208831;20740;Agua sanitaria 1 l super candida                ;2;3.89;7.78;XPTO;21;PRADA IGUATEMI
208831;31068;Espanador n 50 pena nomo 01 un shangri-l                ;1;38.85;38.85;XPTO;21;PRADA IGUATEMI
208831;29408;Flanela 28 cm x 58 cm unitaria branca ca                ;4;1.59;6.36;XPTO;21;PRADA IGUATEMI
208831;31066;Saco alvejado grande un                ;3;4.39;13.17;XPTO;21;PRADA IGUATEMI
208831;13618;Luva vinil sem amido m 100 un inoven                ;2;18.9;37.8;XPTO;21;PRADA IGUATEMI
208831;31215;Aplicador universal graduado 500 ml tran                ;2;4.8;9.6;XPTO;21;PRADA IGUATEMI
208831;20761;Lustra moveis lavanda 200 ml bravo johns                ;3;15;45;XPTO;21;PRADA IGUATEMI
208831;20837;Alcool 70 desinfetante 1 l itaja                ;5;6.95;34.75;XPTO;21;PRADA IGUATEMI
208831;31068;Espanador n 50 pena nomo 01 un shangri-l                ;1;38.85;38.85;XPTO;22;PRADA IGUATEMI UOMO
208831;20739;Detergente clear 500 ml ype                ;4;2.8;11.2;XPTO;22;PRADA IGUATEMI UOMO
208831;31215;Aplicador universal graduado 500 ml tran                ;2;4.8;9.6;XPTO;22;PRADA IGUATEMI UOMO
208831;20740;Agua sanitaria 1 l super candida                ;1;3.89;3.89;XPTO;22;PRADA IGUATEMI UOMO
208831;20761;Lustra moveis lavanda 200 ml bravo johns                ;2;15;30;XPTO;22;PRADA IGUATEMI UOMO
208831;13546;Luva vinil sem amido g 100 un inoven                ;2;18.9;37.8;XPTO;22;PRADA IGUATEMI UOMO
208831;29408;Flanela 28 cm x 58 cm unitaria branca ca                ;4;1.59;6.36;XPTO;22;PRADA IGUATEMI UOMO
208831;21660;Limpador multiuso 500 ml gold veja promo                ;3;6.15;18.45;XPTO;22;PRADA IGUATEMI UOMO
208831;31066;Saco alvejado grande un                ;3;4.39;13.17;XPTO;22;PRADA IGUATEMI UOMO
208831;20837;Alcool 70 desinfetante 1 l itaja                ;5;6.95;34.75;XPTO;22;PRADA IGUATEMI UOMO
208831;32165;Esponja dupla face anti aderente azul re                ;4;1.69;6.76;XPTO;22;PRADA IGUATEMI UOMO
208831;21248;Limpador festa flores bouquet 500 ml aja                ;3;10.5;31.5;XPTO;22;PRADA IGUATEMI UOMO
208831;20837;Alcool 70 desinfetante 1 l itaja                ;5;6.95;34.75;XPTO;23;PRADA CIDADE JARDIM
208831;29183;Sabao em pedra 180 g glicerinado ype                ;5;3.39;16.95;XPTO;23;PRADA CIDADE JARDIM
208831;20761;Lustra moveis lavanda 200 ml bravo johns                ;2;15;30;XPTO;23;PRADA CIDADE JARDIM
208831;21660;Limpador multiuso 500 ml gold veja promo                ;3;6.15;18.45;XPTO;23;PRADA CIDADE JARDIM
208831;40356;Saco de lixo 100 l preto p.20                ;1;51.6;51.6;XPTO;23;PRADA CIDADE JARDIM
208831;20739;Detergente clear 500 ml ype                ;5;2.8;14;XPTO;23;PRADA CIDADE JARDIM
208831;21248;Limpador festa flores bouquet 500 ml aja                ;5;10.5;52.5;XPTO;23;PRADA CIDADE JARDIM
208831;40265;Saco de lixo 100 l azul                ;1;46.97;46.97;XPTO;23;PRADA CIDADE JARDIM
208831;13546;Luva vinil sem amido g 100 un inoven                ;1;18.9;18.9;XPTO;23;PRADA CIDADE JARDIM
208831;20740;Agua sanitaria 1 l super candida                ;2;3.89;7.78;XPTO;24;PRADA JK
208831;32162;Rodo plastico multiuso 40 cm com cabo re                ;2;16.9;33.8;XPTO;24;PRADA JK
208831;29183;Sabao em pedra 180 g glicerinado ype                ;4;3.39;13.56;XPTO;24;PRADA JK
208831;41250;Saco de lixo 100 l vermelho                ;1;51.6;51.6;XPTO;24;PRADA JK
208831;20761;Lustra moveis lavanda 200 ml bravo johns                ;3;15;45;XPTO;24;PRADA JK
208831;31268;Escova oval base madeira                ;1;2.99;2.99;XPTO;24;PRADA JK
208831;21660;Limpador multiuso 500 ml gold veja promo                ;2;6.15;12.3;XPTO;24;PRADA JK
208831;20739;Detergente clear 500 ml ype                ;4;2.8;11.2;XPTO;24;PRADA JK
208831;20837;Alcool 70 desinfetante 1 l itaja                ;4;6.95;27.8;XPTO;24;PRADA JK
208831;40265;Saco de lixo 100 l azul                ;1;46.97;46.97;XPTO;24;PRADA JK
208831;31132;Vassoura multiuso com cabo azul ref 9673                ;2;18.9;37.8;XPTO;24;PRADA JK
208831;41601;Saco de lixo 60 l azul                ;1;33;33;XPTO;24;PRADA JK
208831;21248;Limpador festa flores bouquet 500 ml aja                ;4;10.5;42;XPTO;24;PRADA JK
208831;13546;Luva vinil sem amido g 100 un inoven                ;2;18.9;37.8;XPTO;24;PRADA JK
208831;20073;Saponaceo cremoso classico 250 ml radium                ;2;8.85;17.7;XPTO;24;PRADA JK
208831;40042;Saco de lixo 60 l preto i.t                ;1;28;28;XPTO;24;PRADA JK
208831;29203;Sabao em po 800 g caixinha tyxan                ;1;15.45;15.45;XPTO;24;PRADA JK
208831;21248;Limpador festa flores bouquet 500 ml aja                ;2;10.5;21;XPTO;25;MIU MIU JK
208831;20073;Saponaceo cremoso classico 250 ml radium                ;2;8.85;17.7;XPTO;25;MIU MIU JK
208831;20837;Alcool 70 desinfetante 1 l itaja                ;3;6.95;20.85;XPTO;25;MIU MIU JK
208831;41576;Saco de lixo 60 l verde                ;1;30.29;30.29;XPTO;25;MIU MIU JK
208831;41250;Saco de lixo 100 l vermelho                ;1;51.6;51.6;XPTO;25;MIU MIU JK
208831;40265;Saco de lixo 100 l azul                ;1;46.97;46.97;XPTO;25;MIU MIU JK
208831;41601;Saco de lixo 60 l azul                ;1;33;33;XPTO;25;MIU MIU JK
208831;20740;Agua sanitaria 1 l super candida                ;2;3.89;7.78;XPTO;25;MIU MIU JK
208831;32165;Esponja dupla face anti aderente azul re                ;4;1.69;6.76;XPTO;27;YVES IGUATEMI
208831;31066;Saco alvejado grande un                ;3;4.39;13.17;XPTO;27;YVES IGUATEMI
208831;20837;Alcool 70 desinfetante 1 l itaja                ;4;6.95;27.8;XPTO;27;YVES IGUATEMI
208831;20739;Detergente clear 500 ml ype                ;4;2.8;11.2;XPTO;27;YVES IGUATEMI
208831;31215;Aplicador universal graduado 500 ml tran                ;2;4.8;9.6;XPTO;27;YVES IGUATEMI
208831;21660;Limpador multiuso 500 ml gold veja promo                ;2;6.15;12.3;XPTO;27;YVES IGUATEMI
208831;21660;Limpador multiuso 500 ml gold veja promo                ;2;6.15;12.3;XPTO;29;POLO SHOP IGUATEMI
208831;31066;Saco alvejado grande un                ;3;4.39;13.17;XPTO;29;POLO SHOP IGUATEMI
208831;20739;Detergente clear 500 ml ype                ;3;2.8;8.4;XPTO;29;POLO SHOP IGUATEMI
208831;20837;Alcool 70 desinfetante 1 l itaja                ;2;6.95;13.9;XPTO;29;POLO SHOP IGUATEMI
208831;21392;Limpador flores vermelhas & seducao 500                ;3;5.99;17.97;XPTO;29;POLO SHOP IGUATEMI
208831;20739;Detergente clear 500 ml ype                ;5;2.8;14;XPTO;30;INPEV
208831;31066;Saco alvejado grande un                ;5;4.39;21.95;XPTO;30;INPEV
208831;29408;Flanela 28 cm x 58 cm unitaria branca ca                ;5;1.59;7.95;XPTO;30;INPEV
208831;20805;Lustra moveis 200 ml lavanda destac                ;5;11.9;59.5;XPTO;30;INPEV
208831;29203;Sabao em po 800 g caixinha tyxan                ;1;15.45;15.45;XPTO;30;INPEV
208831;41606;Saco de lixo 60 l vermelho                ;1;30.61;30.61;XPTO;30;INPEV
208831;20837;Alcool 70 desinfetante 1 l itaja                ;2;6.95;13.9;XPTO;30;INPEV
208831;20084;Luva top media amarela latex ca 40.044 s                ;4;8.8;35.2;XPTO;30;INPEV
208831;20073;Saponaceo cremoso classico 250 ml radium                ;2;8.85;17.7;XPTO;30;INPEV
208831;32165;Esponja dupla face anti aderente azul re                ;1;1.69;1.69;XPTO;30;INPEV
208831;41574;Saco de lixo 60 l cinza                ;1;33;33;XPTO;30;INPEV
208831;13618;Luva vinil sem amido m 100 un inoven                ;1;18.9;18.9;XPTO;30;INPEV
208831;21660;Limpador multiuso 500 ml gold veja promo                ;3;6.15;18.45;XPTO;30;INPEV
208831;31137;Cabo madeira 1,50 m plastificado                ;1;3.99;3.99;XPTO;36;BANCO DE LA NACION ARGENTINA
208831;31217;Rodo plastico duplo 60 cm sem cabo                ;1;5.26;5.26;XPTO;36;BANCO DE LA NACION ARGENTINA
208831;40356;Saco de lixo 100 l preto p.20                ;1;51.6;51.6;XPTO;36;BANCO DE LA NACION ARGENTINA
208831;20739;Detergente clear 500 ml ype                ;3;2.8;8.4;XPTO;36;BANCO DE LA NACION ARGENTINA
208831;20073;Saponaceo cremoso classico 250 ml radium                ;1;8.85;8.85;XPTO;36;BANCO DE LA NACION ARGENTINA
208831;20805;Lustra moveis 200 ml lavanda destac                ;2;11.9;23.8;XPTO;36;BANCO DE LA NACION ARGENTINA
208831;20084;Luva top media amarela latex ca 40.044 s                ;2;8.8;17.6;XPTO;36;BANCO DE LA NACION ARGENTINA
