Cod. Produto	Descr. Produto	Valor
10132	Acucar refinado 1 kg uniao                	R$ 5.50
20740	Agua sanitaria 1 l super candida                	R$ 3.89
20746	Agua sanitaria 5 l facilita                	R$ 12.89
20837	Alcool 70 desinfetante 1 l itaja                	R$ 6.95
29163	Alcool gel 5 l x 4 kg para as maos ecofl                	R$ 39.90
201593	Alcool gel 500 ml para as maos                	R$ 7.50
60299	Alcool gel refil 800 ml all clean                	R$ 12.90
30073	Aplicador de cera 35 cm sem cabo bralimp                	R$ 53.40
31215	Aplicador universal graduado 500 ml tran                	R$ 4.80
31261	Armacao mop po 40 cm ap400 bralimpia                	R$ 34.50
31260	Armacao mop po 60 cm ap600 bralimpia                	R$ 36.62
31145	Balde 11 l azul plastico                	R$ 6.99
31169	Balde 15 l plastico                	R$ 9.90
31167	Balde 20 l plastico                	R$ 13.95
31176	Balde espremedor amarelo plastico nycar                	R$ 462.00
31162	Balde espremedor azul plastico mopita ba                	R$ 49.65
31214	Cabeleira mop agua cortada com rosca bra                	R$ 17.90
31134	Cabeleira mop agua loop 350 rl branca br                	R$ 26.75
30091	Cabo aluminio 1,40 m x 22 mm he 201 mop                	R$ 42.75
30089	Cabo aluminio 1,40 m x 22 mm ce 140 com                	R$ 34.50
32364	Cabo aluminio 1,40 m x 24 mm cl 140 liso                	R$ 31.29
30090	Cabo aluminio 1,40 m x 22 mm cm 140 estr                	R$ 34.50
31137	Cabo madeira 1,50 m plastificado                	R$ 3.99
10742	Cafe vacuo 500 g tradicional pilao                	R$ 42.50
75231	Cera acabamento acrilico 5 l incolor fla                	R$ 114.00
31256	Combinado com cabo cb 250 25 cm bralimpi                	R$ 64.95
21455	Desengraxante perfumado 5 l beck pine (3                	R$ 68.55
22336	Desentupidor de pia                	R$ 2.99
20710	Desentupidor wc com cabo                	R$ 3.95
20829	Desincrustante louca sanitaria 750 ml re                	R$ 19.90
20751	Desinfetante eucalipto 5 l gold                	R$ 22.95
20752	Desinfetante floral 5 l gold                	R$ 22.95
20763	Desinfetante floral 5 l max                	R$ 39.50
29070	Desinfetante hospitalar 5 l clorex becke                	R$ 28.90
20999	Desinfetante lavanda 5 l lavics azulim                	R$ 19.90
20764	Desinfetante lavanda 5 l max                	R$ 39.50
20771	Desinfetante lavanda 500 ml pinho sol                	R$ 9.95
20821	Detergente clear 5 l ype                	R$ 27.50
20739	Detergente clear 500 ml ype                	R$ 2.80
20757	Detergente desincrustante 5 l multiplic                	R$ 103.00
20765	Detergente neutro 5 l max                	R$ 46.30
20800	Detergente neutro 500 ml limpol                	R$ 2.38
20788	Detergente neutro 500 ml ype                	R$ 2.80
31115	Disco limpador verde 350 mm british                	R$ 19.90
31114	Disco limpador verde 440 mm british                	R$ 28.50
31113	Disco limpador verde 510 mm british                	R$ 36.55
31109	Disco lustrador branco 350 mm british                	R$ 19.95
31160	Disco lustrador branco 510 mm british                	R$ 36.55
31271	Disco removedor preto 350 mm british                	R$ 19.95
31270	Disco removedor preto 440 mm british                	R$ 28.50
31269	Disco removedor preto 510 mm british                	R$ 36.55
170177	Dispenser poupa copo agua com botao e-dp                	R$ 45.90
31268	Escova oval base madeira                	R$ 2.99
31286	Escova sanitaria com pote ref 3607 odim                	R$ 11.90
32168	Escova sanitaria com pote ref 6106 condo                	R$ 8.99
31130	Escova sanitaria com pote ref 9143 betta                	R$ 14.90
31059	Escova sanitaria plastica especial                	R$ 2.99
31412	Escova sanitaria plastica redonda sem po                	R$ 3.95
31124	Espanador eletrostatico ee 605 bralimpia                	R$ 29.75
